_time,pax_id,STEP,LOCATION,GATE
"""2018-04-03T09:48:00.000Z""",723f042.f10fafc,BOARD Aircraft,Terminal 1,B14
"""2018-04-03T06:30:00.000Z""",723f042.f10fafc,ENTER Security Lane,SEC-LANE-5,
"""2018-02-19T06:22:00.000Z""",d420f50c.6a4748,ENTER Departure Hall,Terminal 1,
"""2018-02-19T06:44:00.000Z""",d420f50c.6a4748,LEAVE Check-In Area,Terminal 1,
"""2018-02-19T07:14:00.000Z""",d420f50c.6a4748,LEAVE Security Check,SEC-POS-2,
"""2018-02-19T08:14:00.000Z""",d420f50c.6a4748,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-02-19T08:26:00.000Z""",d420f50c.6a4748,ENTER Bording Gate Area,Terminal 1,B1
"""2018-02-19T06:32:00.000Z""",d420f50c.6a4748,ENTER Check-In Area,Terminal 1,
"""2018-02-19T07:10:00.000Z""",d420f50c.6a4748,ENTER Security Check,SEC-POS-2,
"""2018-02-19T07:24:00.000Z""",d420f50c.6a4748,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-02-19T09:06:00.000Z""",d420f50c.6a4748,BOARD Aircraft,Terminal 1,B1
"""2018-02-19T06:54:00.000Z""",d420f50c.6a4748,ENTER Security Lane,SEC-LANE-5,
"""2018-12-12T06:03:00.000Z""",c34724d7.ace858,ENTER Departure Hall,Terminal 1,
"""2018-12-12T06:23:00.000Z""",c34724d7.ace858,LEAVING Departure Hall,Terminal 1,
"""2018-07-12T03:53:00.000Z""",95abbfb9.f911a,ENTER Departure Hall,Terminal 1,
"""2018-07-12T04:13:00.000Z""",95abbfb9.f911a,LEAVING Departure Hall,Terminal 1,
"""2018-04-17T15:36:00.000Z""",5ea9b08f.65f1b,ENTER Departure Hall,Terminal 1,
"""2018-04-17T16:06:00.000Z""",5ea9b08f.65f1b,LEAVING Departure Hall,Terminal 1,
"""2018-03-10T16:42:00.000Z""",3baf879d.279168,ENTER Departure Hall,Terminal 1,
"""2018-03-10T17:12:00.000Z""",3baf879d.279168,LEAVING Departure Hall,Terminal 1,
"""2018-08-19T07:52:00.000Z""",a86aca1.cfb2438,ENTER Departure Hall,Terminal 1,
"""2018-08-19T08:22:00.000Z""",a86aca1.cfb2438,LEAVING Departure Hall,Terminal 1,
"""2018-08-14T08:19:00.000Z""",d0a20bf9.d2e078,ENTER Departure Hall,Terminal 1,
"""2018-08-14T08:49:00.000Z""",d0a20bf9.d2e078,LEAVING Departure Hall,Terminal 1,
"""2018-12-25T14:17:00.000Z""",262f443c.ae467c,ENTER Departure Hall,Terminal 1,
"""2018-12-25T14:47:00.000Z""",262f443c.ae467c,LEAVE Security Check,SEC-POS-2,
"""2018-12-25T15:53:00.000Z""",262f443c.ae467c,LEAVE Dining Area,Terminal 1,
"""2018-12-25T16:05:00.000Z""",262f443c.ae467c,ENTER Bording Gate Area,Terminal 1,A12
"""2018-12-25T14:43:00.000Z""",262f443c.ae467c,ENTER Security Check,SEC-POS-2,
"""2018-12-25T15:03:00.000Z""",262f443c.ae467c,ENTER Dining Area,Terminal 1,
"""2018-12-25T16:45:00.000Z""",262f443c.ae467c,BOARD Aircraft,Terminal 1,A12
"""2018-12-25T14:27:00.000Z""",262f443c.ae467c,ENTER Security Lane,SEC-LANE-5,
"""2018-05-28T15:51:00.000Z""",1234ac7b.8982d4,ENTER Departure Hall,Terminal 1,
"""2018-05-28T16:36:00.000Z""",1234ac7b.8982d4,LEAVE Security Check,SEC-POS-2,
"""2018-05-28T18:06:00.000Z""",1234ac7b.8982d4,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-05-28T18:24:00.000Z""",1234ac7b.8982d4,ENTER Bording Gate Area,Terminal 1,B11
"""2018-05-28T16:30:00.000Z""",1234ac7b.8982d4,ENTER Security Check,SEC-POS-2,
"""2018-05-28T16:51:00.000Z""",1234ac7b.8982d4,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-05-28T19:24:00.000Z""",1234ac7b.8982d4,BOARD Aircraft,Terminal 1,B11
"""2018-05-28T16:06:00.000Z""",1234ac7b.8982d4,ENTER Security Lane,SEC-LANE-5,
"""2018-02-10T05:18:00.000Z""",5b5eafd5.ca928,ENTER Departure Hall,Terminal 1,
"""2018-02-10T05:34:00.000Z""",5b5eafd5.ca928,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-02-10T06:04:00.000Z""",5b5eafd5.ca928,LEAVE Security Check,SEC-POS-2,
"""2018-02-10T07:04:00.000Z""",5b5eafd5.ca928,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-02-10T07:16:00.000Z""",5b5eafd5.ca928,ENTER Bording Gate Area,Terminal 1,B4
"""2018-02-10T05:28:00.000Z""",5b5eafd5.ca928,ENTER Baggage-Drop Area,Terminal 1,
"""2018-02-10T06:00:00.000Z""",5b5eafd5.ca928,ENTER Security Check,SEC-POS-2,
"""2018-02-10T06:14:00.000Z""",5b5eafd5.ca928,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-02-10T07:56:00.000Z""",5b5eafd5.ca928,BOARD Aircraft,Terminal 1,B4
"""2018-02-10T05:44:00.000Z""",5b5eafd5.ca928,ENTER Security Lane,SEC-LANE-5,
"""2018-10-27T10:46:00.000Z""",604cea4e.5a2d14,ENTER Departure Hall,Terminal 1,
"""2018-10-27T11:01:00.000Z""",604cea4e.5a2d14,LEAVE Security Check,SEC-POS-2,
"""2018-10-27T11:34:00.000Z""",604cea4e.5a2d14,LEAVE Dining Area,Terminal 1,
"""2018-10-27T11:40:00.000Z""",604cea4e.5a2d14,ENTER Bording Gate Area,Terminal 1,B2
"""2018-10-27T10:59:00.000Z""",604cea4e.5a2d14,ENTER Security Check,SEC-POS-2,
"""2018-10-27T11:09:00.000Z""",604cea4e.5a2d14,ENTER Dining Area,Terminal 1,
"""2018-10-27T12:00:00.000Z""",604cea4e.5a2d14,BOARD Aircraft,Terminal 1,B2
"""2018-10-27T10:51:00.000Z""",604cea4e.5a2d14,ENTER Security Lane,SEC-LANE-5,
"""2018-07-04T08:35:00.000Z""",5c082ece.02f4,ENTER Departure Hall,Terminal 1,
"""2018-07-04T09:20:00.000Z""",5c082ece.02f4,LEAVE Security Check,SEC-POS-2,
"""2018-07-04T10:50:00.000Z""",5c082ece.02f4,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-07-04T11:11:00.000Z""",5c082ece.02f4,LEAVE Duty Free Area,Terminal 1,
"""2018-07-04T11:29:00.000Z""",5c082ece.02f4,ENTER Bording Gate Area,Terminal 1,B16
"""2018-07-04T09:14:00.000Z""",5c082ece.02f4,ENTER Security Check,SEC-POS-2,
"""2018-07-04T09:35:00.000Z""",5c082ece.02f4,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-07-04T10:59:00.000Z""",5c082ece.02f4,ENTER Duty Free Area,Terminal 1,
"""2018-07-04T12:29:00.000Z""",5c082ece.02f4,BOARD Aircraft,Terminal 1,B16
"""2018-07-04T08:50:00.000Z""",5c082ece.02f4,ENTER Security Lane,SEC-LANE-5,
"""2018-09-28T14:07:00.000Z""",5c1bdcb5.e61a24,ENTER Departure Hall,Terminal 1,
"""2018-09-28T14:23:00.000Z""",5c1bdcb5.e61a24,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-09-28T14:53:00.000Z""",5c1bdcb5.e61a24,LEAVE Security Check,SEC-POS-2,
"""2018-09-28T15:59:00.000Z""",5c1bdcb5.e61a24,LEAVE Dining Area,Terminal 1,
"""2018-09-28T16:11:00.000Z""",5c1bdcb5.e61a24,ENTER Bording Gate Area,Terminal 1,B12
"""2018-09-28T14:17:00.000Z""",5c1bdcb5.e61a24,ENTER Baggage-Drop Area,Terminal 1,
"""2018-09-28T14:49:00.000Z""",5c1bdcb5.e61a24,ENTER Security Check,SEC-POS-2,
"""2018-09-28T15:09:00.000Z""",5c1bdcb5.e61a24,ENTER Dining Area,Terminal 1,
"""2018-09-28T16:51:00.000Z""",5c1bdcb5.e61a24,BOARD Aircraft,Terminal 1,B12
"""2018-09-28T14:33:00.000Z""",5c1bdcb5.e61a24,ENTER Security Lane,SEC-LANE-5,
"""2018-03-09T10:46:00.000Z""",7e27c08.30ae24,ENTER Departure Hall,Terminal 1,
"""2018-03-09T10:54:00.000Z""",7e27c08.30ae24,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-03-09T11:09:00.000Z""",7e27c08.30ae24,LEAVE Security Check,SEC-POS-2,
"""2018-03-09T11:16:00.000Z""",7e27c08.30ae24,LEAVE Duty Free Area,Terminal 1,
"""2018-03-09T11:46:00.000Z""",7e27c08.30ae24,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-03-09T11:59:00.000Z""",7e27c08.30ae24,ENTER Bording Gate Area,Terminal 1,B13
"""2018-03-09T10:51:00.000Z""",7e27c08.30ae24,ENTER Baggage-Drop Area,Terminal 1,
"""2018-03-09T11:07:00.000Z""",7e27c08.30ae24,ENTER Security Check,SEC-POS-2,
"""2018-03-09T11:53:00.000Z""",7e27c08.30ae24,LEAVE Duty Free Area,Terminal 1,
"""2018-03-09T11:21:00.000Z""",7e27c08.30ae24,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-03-09T12:19:00.000Z""",7e27c08.30ae24,BOARD Aircraft,Terminal 1,B13
"""2018-03-09T10:59:00.000Z""",7e27c08.30ae24,ENTER Security Lane,SEC-LANE-5,
"""2018-03-09T11:49:00.000Z""",7e27c08.30ae24,ENTER Duty Free Area,Terminal 1,
"""2018-03-09T11:12:00.000Z""",7e27c08.30ae24,ENTER Duty Free Area,Terminal 1,
"""2018-10-11T07:33:00.000Z""",fd31bf5a.2e9c1,ENTER Departure Hall,Terminal 1,
"""2018-10-11T07:57:00.000Z""",fd31bf5a.2e9c1,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-10-11T08:42:00.000Z""",fd31bf5a.2e9c1,LEAVE Security Check,SEC-POS-2,
"""2018-10-11T09:03:00.000Z""",fd31bf5a.2e9c1,LEAVE Duty Free Area,Terminal 1,
"""2018-10-11T10:42:00.000Z""",fd31bf5a.2e9c1,LEAVE Dining Area,Terminal 1,
"""2018-10-11T11:00:00.000Z""",fd31bf5a.2e9c1,ENTER Bording Gate Area,Terminal 1,B6
"""2018-10-11T07:48:00.000Z""",fd31bf5a.2e9c1,ENTER Baggage-Drop Area,Terminal 1,
"""2018-10-11T08:36:00.000Z""",fd31bf5a.2e9c1,ENTER Security Check,SEC-POS-2,
"""2018-10-11T08:51:00.000Z""",fd31bf5a.2e9c1,ENTER Duty Free Area,Terminal 1,
"""2018-10-11T09:27:00.000Z""",fd31bf5a.2e9c1,ENTER Dining Area,Terminal 1,
"""2018-10-11T12:00:00.000Z""",fd31bf5a.2e9c1,BOARD Aircraft,Terminal 1,B6
"""2018-10-11T08:12:00.000Z""",fd31bf5a.2e9c1,ENTER Security Lane,SEC-LANE-5,
"""2018-05-26T06:08:00.000Z""",805516e9.53a628,ENTER Departure Hall,Terminal 1,
"""2018-05-26T06:32:00.000Z""",805516e9.53a628,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-05-26T07:17:00.000Z""",805516e9.53a628,LEAVE Security Check,SEC-POS-2,
"""2018-05-26T07:23:00.000Z""",805516e9.53a628,Passport Control,Border-Control Booth 1,
"""2018-05-26T08:53:00.000Z""",805516e9.53a628,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-05-26T09:14:00.000Z""",805516e9.53a628,LEAVE Duty Free Area,Terminal 1,
"""2018-05-26T09:32:00.000Z""",805516e9.53a628,ENTER Bording Gate Area,Terminal 1,B2
"""2018-05-26T06:23:00.000Z""",805516e9.53a628,ENTER Baggage-Drop Area,Terminal 1,
"""2018-05-26T07:11:00.000Z""",805516e9.53a628,ENTER Security Check,SEC-POS-2,
"""2018-05-26T07:38:00.000Z""",805516e9.53a628,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-05-26T09:02:00.000Z""",805516e9.53a628,ENTER Duty Free Area,Terminal 1,
"""2018-05-26T10:32:00.000Z""",805516e9.53a628,BOARD Aircraft,Terminal 1,B2
"""2018-05-26T06:47:00.000Z""",805516e9.53a628,ENTER Security Lane,SEC-LANE-5,
"""2018-11-17T09:12:00.000Z""",2fd574a0.084efc,ENTER Departure Hall,Terminal 1,
"""2018-11-17T09:57:00.000Z""",2fd574a0.084efc,LEAVE Security Check,SEC-POS-2,
"""2018-11-17T10:03:00.000Z""",2fd574a0.084efc,Passport Control,Border-Control Booth 1,
"""2018-11-17T11:33:00.000Z""",2fd574a0.084efc,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-11-17T11:54:00.000Z""",2fd574a0.084efc,LEAVE Duty Free Area,Terminal 1,
"""2018-11-17T12:12:00.000Z""",2fd574a0.084efc,ENTER Bording Gate Area,Terminal 1,A19
"""2018-11-17T09:51:00.000Z""",2fd574a0.084efc,ENTER Security Check,SEC-POS-2,
"""2018-11-17T10:18:00.000Z""",2fd574a0.084efc,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-11-17T11:42:00.000Z""",2fd574a0.084efc,ENTER Duty Free Area,Terminal 1,
"""2018-11-17T13:12:00.000Z""",2fd574a0.084efc,BOARD Aircraft,Terminal 1,A19
"""2018-11-17T09:27:00.000Z""",2fd574a0.084efc,ENTER Security Lane,SEC-LANE-5,
"""2018-06-22T14:05:00.000Z""",34ec8930.8730b6,ENTER Departure Hall,Terminal 1,
"""2018-06-22T14:27:00.000Z""",34ec8930.8730b6,LEAVE Check-In Area,Terminal 1,
"""2018-06-22T14:57:00.000Z""",34ec8930.8730b6,LEAVE Security Check,SEC-POS-2,
"""2018-06-22T16:03:00.000Z""",34ec8930.8730b6,LEAVE Dining Area,Terminal 1,
"""2018-06-22T16:15:00.000Z""",34ec8930.8730b6,ENTER Bording Gate Area,Terminal 1,B12
"""2018-06-22T14:15:00.000Z""",34ec8930.8730b6,ENTER Check-In Area,Terminal 1,
"""2018-06-22T14:53:00.000Z""",34ec8930.8730b6,ENTER Security Check,SEC-POS-2,
"""2018-06-22T15:13:00.000Z""",34ec8930.8730b6,ENTER Dining Area,Terminal 1,
"""2018-06-22T16:55:00.000Z""",34ec8930.8730b6,BOARD Aircraft,Terminal 1,B12
"""2018-06-22T14:37:00.000Z""",34ec8930.8730b6,ENTER Security Lane,SEC-LANE-5,
"""2018-03-04T06:23:00.000Z""",7392bf19.6a773,ENTER Departure Hall,Terminal 1,
"""2018-03-04T06:39:00.000Z""",7392bf19.6a773,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-03-04T07:09:00.000Z""",7392bf19.6a773,LEAVE Security Check,SEC-POS-2,
"""2018-03-04T07:21:00.000Z""",7392bf19.6a773,ENTER Bording Gate Area,Terminal 1,B18
"""2018-03-04T06:33:00.000Z""",7392bf19.6a773,ENTER Baggage-Drop Area,Terminal 1,
"""2018-03-04T07:05:00.000Z""",7392bf19.6a773,ENTER Security Check,SEC-POS-2,
"""2018-03-04T08:01:00.000Z""",7392bf19.6a773,BOARD Aircraft,Terminal 1,B18
"""2018-03-04T06:49:00.000Z""",7392bf19.6a773,ENTER Security Lane,SEC-LANE-5,
"""2018-10-17T14:54:00.000Z""",68f7358d.6e1bbc,ENTER Departure Hall,Terminal 1,
"""2018-10-17T15:24:00.000Z""",68f7358d.6e1bbc,LEAVE Security Check,SEC-POS-2,
"""2018-10-17T16:24:00.000Z""",68f7358d.6e1bbc,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-10-17T16:38:00.000Z""",68f7358d.6e1bbc,LEAVE Duty Free Area,Terminal 1,
"""2018-10-17T16:50:00.000Z""",68f7358d.6e1bbc,ENTER Bording Gate Area,Terminal 1,A6
"""2018-10-17T15:20:00.000Z""",68f7358d.6e1bbc,ENTER Security Check,SEC-POS-2,
"""2018-10-17T15:34:00.000Z""",68f7358d.6e1bbc,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-10-17T16:30:00.000Z""",68f7358d.6e1bbc,ENTER Duty Free Area,Terminal 1,
"""2018-10-17T17:30:00.000Z""",68f7358d.6e1bbc,BOARD Aircraft,Terminal 1,A6
"""2018-10-17T15:04:00.000Z""",68f7358d.6e1bbc,ENTER Security Lane,SEC-LANE-5,
"""2018-03-01T06:32:00.000Z""",adb3e32.adab12,ENTER Departure Hall,Terminal 1,
"""2018-03-01T06:54:00.000Z""",adb3e32.adab12,LEAVE Check-In Area,Terminal 1,
"""2018-03-01T07:24:00.000Z""",adb3e32.adab12,LEAVE Security Check,SEC-POS-2,
"""2018-03-01T08:30:00.000Z""",adb3e32.adab12,LEAVE Dining Area,Terminal 1,
"""2018-03-01T08:42:00.000Z""",adb3e32.adab12,ENTER Bording Gate Area,Terminal 1,B13
"""2018-03-01T06:42:00.000Z""",adb3e32.adab12,ENTER Check-In Area,Terminal 1,
"""2018-03-01T07:20:00.000Z""",adb3e32.adab12,ENTER Security Check,SEC-POS-2,
"""2018-03-01T07:40:00.000Z""",adb3e32.adab12,ENTER Dining Area,Terminal 1,
"""2018-03-01T09:22:00.000Z""",adb3e32.adab12,BOARD Aircraft,Terminal 1,B13
"""2018-03-01T07:04:00.000Z""",adb3e32.adab12,ENTER Security Lane,SEC-LANE-5,
"""2018-11-29T13:18:00.000Z""",28196f5.703b89,ENTER Departure Hall,Terminal 1,
"""2018-11-29T13:40:00.000Z""",28196f5.703b89,LEAVE Check-In Area,Terminal 1,
"""2018-11-29T14:10:00.000Z""",28196f5.703b89,LEAVE Security Check,SEC-POS-2,
"""2018-11-29T15:10:00.000Z""",28196f5.703b89,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-11-29T16:16:00.000Z""",28196f5.703b89,LEAVE Dining Area,Terminal 1,
"""2018-11-29T16:28:00.000Z""",28196f5.703b89,ENTER Bording Gate Area,Terminal 1,B13
"""2018-11-29T13:28:00.000Z""",28196f5.703b89,ENTER Check-In Area,Terminal 1,
"""2018-11-29T14:06:00.000Z""",28196f5.703b89,ENTER Security Check,SEC-POS-2,
"""2018-11-29T14:20:00.000Z""",28196f5.703b89,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-11-29T15:26:00.000Z""",28196f5.703b89,ENTER Dining Area,Terminal 1,
"""2018-11-29T17:08:00.000Z""",28196f5.703b89,BOARD Aircraft,Terminal 1,B13
"""2018-11-29T13:50:00.000Z""",28196f5.703b89,ENTER Security Lane,SEC-LANE-5,
"""2018-03-26T08:06:00.000Z""",d91cb889.55f6b8,ENTER Departure Hall,Terminal 1,
"""2018-03-26T08:39:00.000Z""",d91cb889.55f6b8,LEAVE Check-In Area,Terminal 1,
"""2018-03-26T09:24:00.000Z""",d91cb889.55f6b8,LEAVE Security Check,SEC-POS-2,
"""2018-03-26T09:42:00.000Z""",d91cb889.55f6b8,ENTER Bording Gate Area,Terminal 1,B4
"""2018-03-26T08:21:00.000Z""",d91cb889.55f6b8,ENTER Check-In Area,Terminal 1,
"""2018-03-26T09:18:00.000Z""",d91cb889.55f6b8,ENTER Security Check,SEC-POS-2,
"""2018-03-26T10:42:00.000Z""",d91cb889.55f6b8,BOARD Aircraft,Terminal 1,B4
"""2018-03-26T08:54:00.000Z""",d91cb889.55f6b8,ENTER Security Lane,SEC-LANE-5,
"""2018-03-07T18:10:00.000Z""",fdbd48bb.b00898,ENTER Departure Hall,Terminal 1,
"""2018-03-07T18:43:00.000Z""",fdbd48bb.b00898,LEAVE Check-In Area,Terminal 1,
"""2018-03-07T19:28:00.000Z""",fdbd48bb.b00898,LEAVE Security Check,SEC-POS-2,
"""2018-03-07T19:46:00.000Z""",fdbd48bb.b00898,ENTER Bording Gate Area,Terminal 1,B13
"""2018-03-07T18:25:00.000Z""",fdbd48bb.b00898,ENTER Check-In Area,Terminal 1,
"""2018-03-07T19:22:00.000Z""",fdbd48bb.b00898,ENTER Security Check,SEC-POS-2,
"""2018-03-07T20:46:00.000Z""",fdbd48bb.b00898,BOARD Aircraft,Terminal 1,B13
"""2018-03-07T18:58:00.000Z""",fdbd48bb.b00898,ENTER Security Lane,SEC-LANE-5,
"""2018-08-04T10:35:00.000Z""",2c3fb211.0db78e,ENTER Departure Hall,Terminal 1,
"""2018-08-04T10:43:00.000Z""",2c3fb211.0db78e,LEAVE Baggage-Drop Area,Terminal 1,
"""2018-08-04T10:58:00.000Z""",2c3fb211.0db78e,LEAVE Security Check,SEC-POS-2,
"""2018-08-04T11:31:00.000Z""",2c3fb211.0db78e,LEAVE Dining Area,Terminal 1,
"""2018-08-04T11:37:00.000Z""",2c3fb211.0db78e,ENTER Bording Gate Area,Terminal 1,B8
"""2018-08-04T10:40:00.000Z""",2c3fb211.0db78e,ENTER Baggage-Drop Area,Terminal 1,
"""2018-08-04T10:56:00.000Z""",2c3fb211.0db78e,ENTER Security Check,SEC-POS-2,
"""2018-08-04T11:06:00.000Z""",2c3fb211.0db78e,ENTER Dining Area,Terminal 1,
"""2018-08-04T11:57:00.000Z""",2c3fb211.0db78e,BOARD Aircraft,Terminal 1,B8
"""2018-08-04T10:48:00.000Z""",2c3fb211.0db78e,ENTER Security Lane,SEC-LANE-5,
"""2018-09-07T05:35:00.000Z""",c8ce50f2.cf446,ENTER Departure Hall,Terminal 1,
"""2018-09-07T05:57:00.000Z""",c8ce50f2.cf446,LEAVE Check-In Area,Terminal 1,
"""2018-09-07T06:27:00.000Z""",c8ce50f2.cf446,LEAVE Security Check,SEC-POS-2,
"""2018-09-07T07:33:00.000Z""",c8ce50f2.cf446,LEAVE Dining Area,Terminal 1,
"""2018-09-07T07:45:00.000Z""",c8ce50f2.cf446,ENTER Bording Gate Area,Terminal 1,A2
"""2018-09-07T05:45:00.000Z""",c8ce50f2.cf446,ENTER Check-In Area,Terminal 1,
"""2018-09-07T06:23:00.000Z""",c8ce50f2.cf446,ENTER Security Check,SEC-POS-2,
"""2018-09-07T06:43:00.000Z""",c8ce50f2.cf446,ENTER Dining Area,Terminal 1,
"""2018-09-07T08:25:00.000Z""",c8ce50f2.cf446,BOARD Aircraft,Terminal 1,A2
"""2018-09-07T06:07:00.000Z""",c8ce50f2.cf446,ENTER Security Lane,SEC-LANE-5,
"""2018-03-22T15:42:00.000Z""",dd8ff07f.0953b,ENTER Departure Hall,Terminal 1,
"""2018-03-22T16:04:00.000Z""",dd8ff07f.0953b,LEAVE Check-In Area,Terminal 1,
"""2018-03-22T16:34:00.000Z""",dd8ff07f.0953b,LEAVE Security Check,SEC-POS-2,
"""2018-03-22T17:34:00.000Z""",dd8ff07f.0953b,LEAVE Frequent Flyer Lounge,Terminal 1,
"""2018-03-22T18:40:00.000Z""",dd8ff07f.0953b,LEAVE Dining Area,Terminal 1,
"""2018-03-22T18:52:00.000Z""",dd8ff07f.0953b,ENTER Bording Gate Area,Terminal 1,B4
"""2018-03-22T15:52:00.000Z""",dd8ff07f.0953b,ENTER Check-In Area,Terminal 1,
"""2018-03-22T16:30:00.000Z""",dd8ff07f.0953b,ENTER Security Check,SEC-POS-2,
"""2018-03-22T16:44:00.000Z""",dd8ff07f.0953b,ENTER Frequent Flyer Lounge,Terminal 1,
"""2018-03-22T17:50:00.000Z""",dd8ff07f.0953b,ENTER Dining Area,Terminal 1,
"""2018-03-22T19:32:00.000Z""",dd8ff07f.0953b,BOARD Aircraft,Terminal 1,B4
"""2018-03-22T16:14:00.000Z""",dd8ff07f.0953b,ENTER Security Lane,SEC-LANE-5,
"""2018-11-26T09:43:00.000Z""",40a60832.b094c8,ENTER Departure Hall,Terminal 1,
"""2018-11-26T10:16:00.000Z""",40a60832.b094c8,LEAVE Check-In Area,Terminal 1,
"""2018-11-26T11:01:00.000Z""",40a60832.b094c8,LEAVE Security Check,SEC-POS-2,
"""2018-11-26T12:40:00.000Z""",40a60832.b094c8,LEAVE Dining Area,Terminal 1,
"""2018-11-26T12:58:00.000Z""",40a60832.b094c8,ENTER Bording Gate Area,Terminal 1,B14
"""2018-11-26T09:58:00.000Z""",40a60832.b094c8,ENTER Check-In Area,Terminal 1,
"""2018-11-26T10:55:00.000Z""",40a60832.b094c8,ENTER Security Check,SEC-POS-2,
"""2018-11-26T11:25:00.000Z""",40a60832.b094c8,ENTER Dining Area,Terminal 1,
"""2018-11-26T13:58:00.000Z""",40a60832.b094c8,BOARD Aircraft,Terminal 1,B14
"""2018-11-26T10:31:00.000Z""",40a60832.b094c8,ENTER Security Lane,SEC-LANE-5,
"""2018-08-21T07:11:00.000Z""",1410669c.c5e5c9,ENTER Departure Hall,Terminal 1,
"""2018-08-21T07:44:00.000Z""",1410669c.c5e5c9,LEAVE Check-In Area,Terminal 1,
"""2018-08-21T08:29:00.000Z""",1410669c.c5e5c9,LEAVE Security Check,SEC-POS-2,
"""2018-08-21T08:50:00.000Z""",1410669c.c5e5c9,LEAVE Duty Free Area,Terminal 1,
"""2018-08-21T10:29:00.000Z""",1410669c.c5e5c9,LEAVE Dining Area,Terminal 1,
"""2018-08-21T10:47:00.000Z""",1410669c.c5e5c9,ENTER Bording Gate Area,Terminal 1,B16
"""2018-08-21T07:26:00.000Z""",1410669c.c5e5c9,ENTER Check-In Area,Terminal 1,
"""2018-08-21T08:23:00.000Z""",1410669c.c5e5c9,ENTER Security Check,SEC-POS-2,
"""2018-08-21T08:38:00.000Z""",1410669c.c5e5c9,ENTER Duty Free Area,Terminal 1,
"""2018-08-21T09:14:00.000Z""",1410669c.c5e5c9,ENTER Dining Area,Terminal 1,
"""2018-08-21T11:47:00.000Z""",1410669c.c5e5c9,BOARD Aircraft,Terminal 1,B16
"""2018-08-21T07:59:00.000Z""",1410669c.c5e5c9,ENTER Security Lane,SEC-LANE-5,
"""2018-12-28T05:23:00.000Z""",206e391b.b2eed6,ENTER Departure Hall,Terminal 1,
"""2018-12-28T05:45:00.000Z""",206e391b.b2eed6,LEAVE Check-In Area,Terminal 1,
"""2018-12-28T06:15:00.000Z""",206e391b.b2eed6,LEAVE Security Check,SEC-POS-2,
"""2018-12-28T06:19:00.000Z""",206e391b.b2eed6,Passport Control,Border-Control Booth 1,
"""2018-12-28T06:31:00.000Z""",206e391b.b2eed6,ENTER Bording Gate Area,Terminal 1,B5
"""2018-12-28T05:33:00.000Z""",206e391b.b2eed6,ENTER Check-In Area,Terminal 1,
"""2018-12-28T06:11:00.000Z""",206e391b.b2eed6,ENTER Security Check,SEC-POS-2,
"""2018-12-28T07:11:00.000Z""",206e391b.b2eed6,BOARD Aircraft,Terminal 1,B5
"""2018-12-28T05:55:00.000Z""",206e391b.b2eed6,ENTER Security Lane,SEC-LANE-5,
"""2018-05-08T17:42:00.000Z""",575c8d6e.8dc354,ENTER Departure Hall,Terminal 1,
"""2018-05-08T18:27:00.000Z""",575c8d6e.8dc354,LEAVE Security Check,SEC-POS-2,
"""2018-05-08T18:33:00.000Z""",575c8d6e.8dc354,Passport Control,Border-Control Booth 1,
"""2018-05-08T18:54:00.000Z""",575c8d6e.8dc354,LEAVE Duty Free Area,Terminal 1,
"""2018-05-08T20:33:00.000Z""",575c8d6e.8dc354,LEAVE Dining Area,Terminal 1,
"""2018-05-08T20:51:00.000Z""",575c8d6e.8dc354,ENTER Bording Gate Area,Terminal 1,B6
"""2018-05-08T18:21:00.000Z""",575c8d6e.8dc354,ENTER Security Check,SEC-POS-2,
"""2018-05-08T18:42:00.000Z""",575c8d6e.8dc354,ENTER Duty Free Area,Terminal 1,
"""2018-05-08T19:18:00.000Z""",575c8d6e.8dc354,ENTER Dining Area,Terminal 1,
"""2018-05-08T21:51:00.000Z""",575c8d6e.8dc354,BOARD Aircraft,Terminal 1,B6
"""2018-05-08T17:57:00.000Z""",575c8d6e.8dc354,ENTER Security Lane,SEC-LANE-5,
"""2018-11-24T07:54:00.000Z""",7c59e091.bd699,ENTER Departure Hall,Terminal 1,
